sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type,total_donasi_sender,jumlah_transaksi_sender,rata_rata_donasi_sender,std_donasi_sender,jumlah_donasi_30hari_sender,selang_waktu_rata2_sender,receiver_unik_per_sender,degree_centrality_sender,sender_unik_per_receiver,degree_centrality_receiver,max_donasi_satu_receiver,proporsi_donasi_terbesar_per_sender,flag_donasi_melebihi_batas
"Vivi Yulianti, S.E.I",individual,Partai Nasional Demokrat,political-party,2025-10-19,3232633,True,smurfing,3232633,1,3232633.0,,1.0,,1,1,434,434,3232633,1.0,False
"dr. Unggul Ramadan, M.Ak",individual,R.A. Zizi Nababan,individual,2025-06-03,2021919955,False,,2021919955,1,2021919955.0,,1.0,,1,1,1,1,2021919955,1.0,False
Zelaya Habibi,individual,Partai Persatuan,political-party,2025-06-07,371500482,True,over_limit,371500482,1,371500482.0,,1.0,,1,1,415,415,371500482,1.0,True
CV Sinaga,corporation,Sarah Kuswandari,individual,2025-01-08,23435967526,True,self_funded,23805489230,2,11902744615.0,16310440258.608307,1.0,42.0,2,2,1,1,23435967526,0.9844774581009524,False
Perum Wahyuni Winarsih Tbk,corporation,Erik Uyainah,individual,2024-02-05,273973613,True,proxy,273973613,1,273973613.0,,1.0,,1,1,1,1,273973613,1.0,False
Zelda Zulkarnain,individual,Endah Kusumo,individual,2024-04-10,8081453,True,smurfing,8081453,1,8081453.0,,1.0,,1,1,1,1,8081453,1.0,False
UD Hutapea Thamrin (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-12-11,1305333638,True,proxy,1305333638,1,1305333638.0,,1.0,,1,1,382,382,1305333638,1.0,False
"T. Cahyadi Maulana, S.Kom",individual,Muhammad Mangunsong,individual,2024-04-20,1870091920,True,self_funded,1870091920,1,1870091920.0,,1.0,,1,1,1,1,1870091920,1.0,False
UD Suryono,corporation,Rahmi Habibi,individual,2025-05-08,8585952471,False,,20948338989,3,6982779663.0,6290651866.937249,1.0,83.0,3,3,1,1,12316719204,0.5879568404190674,False
Drajat Purnawati,individual,Yani Suartini,individual,2025-11-09,2144532823,True,self_funded,2144532823,1,2144532823.0,,1.0,,1,1,1,1,2144532823,1.0,False
Kamal Wijayanti,individual,Partai Amanat Rakyat,political-party,2024-08-28,67695517,False,,67695517,1,67695517.0,,1.0,,1,1,411,411,67695517,1.0,False
Perum Suryono,corporation,Atmaja Hariyah,individual,2025-04-15,1251091205,True,proxy,3028471379,4,757117844.75,852992621.9789975,1.0,106.0,4,4,1,1,1704893459,0.5629551168361892,False
Yulia Usamah,individual,"Ir. Ellis Saputra, S.Farm",individual,2024-06-17,1501570740,False,,1501570740,1,1501570740.0,,1.0,,1,1,1,1,1501570740,1.0,False
PT Rahmawati,corporation,Partai Rakyat Sejahtera,political-party,2025-11-10,1638914700,True,proxy,1638914700,1,1638914700.0,,1.0,,1,1,404,404,1638914700,1.0,True
UD Prakasa (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-09-05,393561028,False,,393561028,1,393561028.0,,1.0,,1,1,422,422,393561028,1.0,False
UD Kuswoyo Handayani Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-05-10,313877444,True,proxy,313877444,1,313877444.0,,1.0,,1,1,382,382,313877444,1.0,False
PT Ardianto Wibowo Tbk,corporation,Partai Indonesia Maju,political-party,2024-11-06,1262840722,True,proxy,1262840722,1,1262840722.0,,1.0,,1,1,411,411,1262840722,1.0,True
PD Mandasari Palastri (Persero) Tbk,corporation,Dr. Gilda Pratama,individual,2025-04-02,35880572,True,smurfing,35880572,1,35880572.0,,1.0,,1,1,1,1,35880572,1.0,False
Maida Handayani,individual,Partai Kebangkitan Rakyat,political-party,2024-08-11,29860156,False,,29860156,1,29860156.0,,1.0,,1,1,382,382,29860156,1.0,False
"Dr. Danu Nasyidah, S.T.",individual,Partai Nasional Demokrat,political-party,2024-10-12,49482728,False,,49482728,1,49482728.0,,1.0,,1,1,434,434,49482728,1.0,False
PT Wibisono Sirait Tbk,corporation,Partai Persatuan,political-party,2025-07-16,994622446,True,over_limit,994622446,1,994622446.0,,1.0,,1,1,415,415,994622446,1.0,True
PD Haryanto Namaga Tbk,organization,Partai Amanat Rakyat,political-party,2025-01-23,9906490,True,smurfing,9906490,1,9906490.0,,1.0,,1,1,411,411,9906490,1.0,False
Ir. Prayogo Simbolon,individual,Partai Persatuan,political-party,2024-02-11,17231345,False,,17231345,1,17231345.0,,1.0,,1,1,415,415,17231345,1.0,False
CV Wijaya (Persero) Tbk,organization,Partai Nasional Demokrat,political-party,2024-12-31,1657365397,True,proxy,2599121548,2,1299560774.0,506012150.5263923,1.0,44.0,2,2,434,434,1657365397,0.6376636745885652,False
Adhiarja Nugroho,individual,dr. Aurora Haryanto,individual,2025-08-31,1127646596,False,,1127646596,1,1127646596.0,,1.0,,1,1,1,1,1127646596,1.0,False
drg. Yessi Pratama,individual,"Ganda Tarihoran, M.TI.",individual,2025-01-02,2056542388,False,,2056542388,1,2056542388.0,,1.0,,1,1,1,1,2056542388,1.0,False
Perum Fujiati,corporation,Partai Demokrat,political-party,2025-03-10,1735208702,True,proxy,24925353622,4,6231338405.5,10798348160.481611,1.0,79.33333333333333,4,4,429,429,22394609989,0.8984670921271795,True
Dt. Langgeng Sihombing,individual,"Maida Pratama, S.IP",individual,2025-02-24,629681147,False,,629681147,1,629681147.0,,1.0,,1,1,1,1,629681147,1.0,False
CV Utami Maulana Tbk,corporation,Titi Hidayat,individual,2024-03-08,62860783,True,smurfing,62860783,1,62860783.0,,1.0,,1,1,1,1,62860783,1.0,False
PD Sihombing Winarno,corporation,R. Violet Hutagalung,individual,2024-03-16,142807516,True,self_funded,142807516,1,142807516.0,,1.0,,1,1,1,1,142807516,1.0,False
CV Nashiruddin,organization,"Hj. Belinda Hidayat, S.T.",individual,2024-12-17,1030186527,True,proxy,10533554462,4,2633388615.5,3272684361.851465,1.0,114.0,4,4,1,1,7530646062,0.7149197442484349,False
PD Dabukke (Persero) Tbk,organization,"Olga Wahyudin, S.Sos",individual,2024-12-15,1698857902,True,proxy,2713731302,3,904577100.6666666,807427629.8177762,1.0,119.5,3,3,1,1,1698857902,0.6260228861818243,False
Perum Tampubolon (Persero) Tbk,organization,Partai Demokrat,political-party,2024-03-04,159423919,False,,10766088723,2,5383044361.5,7387314874.472848,1.0,47.0,2,2,429,429,10606664804,0.9851920299839796,False
"Harja Utama, M.Farm",individual,Partai Nasional Demokrat,political-party,2025-05-22,87519303,True,smurfing,87519303,1,87519303.0,,1.0,,1,1,434,434,87519303,1.0,False
"Jamalia Mandala, S.IP",individual,Unggul Marpaung,individual,2024-12-08,2235870225,False,,2235870225,1,2235870225.0,,1.0,,1,1,1,1,2235870225,1.0,False
Perum Rahimah Saptono,corporation,Citra Firgantoro,individual,2024-10-25,2821498428,False,,2821498428,1,2821498428.0,,1.0,,1,1,1,1,2821498428,1.0,False
CV Tarihoran,organization,Damu Budiyanto,individual,2024-10-08,51937678,True,proxy,2192941000,4,548235250.0,732685564.768693,1.0,214.33333333333334,4,4,1,1,1593150667,0.7264904377272348,False
Rina Melani,individual,Partai Kebangkitan Rakyat,political-party,2025-04-22,36061649,False,,36061649,1,36061649.0,,1.0,,1,1,382,382,36061649,1.0,False
Kani Mahendra,individual,"Marwata Prakasa, S.IP",individual,2024-08-09,11260759,True,smurfing,11260759,1,11260759.0,,1.0,,1,1,1,1,11260759,1.0,False
PD Firmansyah,corporation,Partai Indonesia Maju,political-party,2025-12-01,283204311,False,,645805718,2,322902859.0,56142224.988119304,1.0,402.0,2,2,411,411,362601407,0.5614713479511186,False
PD Susanti Narpati,corporation,"Prayogo Pratiwi, M.Ak",individual,2024-02-18,15335887299,True,self_funded,15335887299,1,15335887299.0,,1.0,,1,1,1,1,15335887299,1.0,False
"R. Cager Utami, S.Pt",individual,Kenari Budiman,individual,2025-01-16,1360878452,False,,1360878452,1,1360878452.0,,1.0,,1,1,1,1,1360878452,1.0,False
CV Hidayanto Mangunsong,corporation,Partai Rakyat Sejahtera,political-party,2024-11-18,302334552,True,proxy,302334552,1,302334552.0,,1.0,,1,1,404,404,302334552,1.0,False
CV Mustofa Simanjuntak (Persero) Tbk,corporation,Ulva Firgantoro,individual,2025-09-06,164796982,True,proxy,164796982,1,164796982.0,,1.0,,1,1,1,1,164796982,1.0,False
CV Waluyo,corporation,Partai Amanat Rakyat,political-party,2024-09-13,1174597424,True,proxy,1272023556,2,636011778.0,761675125.0726746,1.0,463.0,2,2,411,411,1174597424,0.923408547317814,True
Kartika Hidayanto,individual,Ciaobella Prayoga,individual,2024-10-15,233474544,False,,233474544,1,233474544.0,,1.0,,1,1,1,1,233474544,1.0,False
Bahuwirya Megantara,individual,Jono Saefullah,individual,2025-02-04,1273035699,False,,1273035699,1,1273035699.0,,1.0,,1,1,1,1,1273035699,1.0,False
Maras Budiman,individual,Partai Kebangkitan Rakyat,political-party,2025-06-17,141909594,False,,141909594,1,141909594.0,,1.0,,1,1,382,382,141909594,1.0,False
PT Mandasari,corporation,Partai Solidaritas Indonesia,political-party,2025-08-03,300172992,False,,16873307761,5,3374661552.2,4178610103.1872272,2.0,65.0,5,5,431,431,8362809037,0.49562357040208316,False
Edi Pranowo,individual,"Tgk. Latif Nababan, S.T.",individual,2024-03-27,1872686931,False,,1872686931,1,1872686931.0,,1.0,,1,1,1,1,1872686931,1.0,False
"R. Bala Saptono, M.Ak",individual,Partai Harapan Bangsa,political-party,2024-04-30,977136,True,smurfing,977136,1,977136.0,,1.0,,1,1,436,436,977136,1.0,False
PT Maryati Najmudin,organization,Sutan Raharja Mahendra,individual,2024-07-05,294728169,True,proxy,294728169,1,294728169.0,,1.0,,1,1,1,1,294728169,1.0,False
PD Pranowo (Persero) Tbk,corporation,Gada Pradipta,individual,2025-05-30,7471256561,True,self_funded,7471256561,1,7471256561.0,,1.0,,1,1,1,1,7471256561,1.0,False
drg. Kacung Yuniar,individual,dr. Winda Oktaviani,individual,2024-03-02,1588161759,False,,1588161759,1,1588161759.0,,1.0,,1,1,1,1,1588161759,1.0,False
Putu Suwarno,individual,Partai Solidaritas Indonesia,political-party,2024-03-07,163350397,False,,163350397,1,163350397.0,,1.0,,1,1,431,431,163350397,1.0,False
Jatmiko Adriansyah,individual,Partai Solidaritas Indonesia,political-party,2024-12-06,29269762,False,,29269762,1,29269762.0,,1.0,,1,1,431,431,29269762,1.0,False
Perum Saefullah,corporation,Partai Persatuan,political-party,2024-08-31,651902844,False,,3711533226,3,1237177742.0,1166891643.8634264,1.0,174.5,3,3,415,415,2580874694,0.6953661834199621,False
CV Purwanti Tbk,corporation,Mulya Rahmawati,individual,2025-09-24,54735580,True,smurfing,11140586478,2,5570293239.0,7800176445.408599,1.0,40.0,2,2,1,1,11085850898,0.9950868313703152,False
Perum Yuliarti Suwarno,organization,R.A. Vanya Wasita,individual,2025-10-29,2162927383,False,,2162927383,1,2162927383.0,,1.0,,1,1,1,1,2162927383,1.0,False
Gilang Prakasa,individual,Anggabaya Pudjiastuti,individual,2025-07-28,1553066633,True,self_funded,1553066633,1,1553066633.0,,1.0,,1,1,1,1,1553066633,1.0,False
"Tantri Nasyiah, S.Pt",individual,Partai Harapan Bangsa,political-party,2025-10-02,129896184,False,,129896184,1,129896184.0,,1.0,,1,1,436,436,129896184,1.0,False
Amalia Narpati,individual,Partai Indonesia Maju,political-party,2025-09-09,72997226,False,,72997226,1,72997226.0,,1.0,,1,1,411,411,72997226,1.0,False
PD Wijaya Januar (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2025-07-24,1297715012,True,proxy,1297715012,1,1297715012.0,,1.0,,1,1,404,404,1297715012,1.0,False
CV Simbolon,corporation,Vivi Setiawan,individual,2024-06-20,87431430,True,smurfing,110445452,2,55222726.0,45549986.023260556,1.0,187.0,2,2,1,1,87431430,0.7916254442057061,False
PD Suartini (Persero) Tbk,organization,"Cemeti Pudjiastuti, S.IP",individual,2024-10-10,3054394542,False,,4178257623,3,1392752541.0,1516122358.703564,1.0,234.5,3,3,1,1,3054394542,0.7310211139654277,False
PD Wibisono,corporation,Radika Sihombing,individual,2024-07-31,10054823074,False,,10980276375,5,2196055275.0,4401135747.663273,1.0,85.5,5,5,1,1,10054823074,0.9157167570839035,False
PT Lestari Puspita (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-07-05,501871580,True,proxy,501871580,1,501871580.0,,1.0,,1,1,382,382,501871580,1.0,False
Harjasa Wastuti,individual,Partai Demokrat,political-party,2024-10-22,8354741,False,,8354741,1,8354741.0,,1.0,,1,1,429,429,8354741,1.0,False
dr. Edi Saputra,individual,Partai Kebangkitan Rakyat,political-party,2024-04-25,126205262,False,,126205262,1,126205262.0,,1.0,,1,1,382,382,126205262,1.0,False
PT Kuswoyo,corporation,Hesti Mansur,individual,2024-09-16,1045941933,True,self_funded,1045941933,1,1045941933.0,,1.0,,1,1,1,1,1045941933,1.0,False
"Tira Permata, S.IP",individual,Partai Keadilan Indonesia,political-party,2025-04-07,38894777,True,smurfing,38894777,1,38894777.0,,1.0,,1,1,422,422,38894777,1.0,False
UD Saragih Lazuardi,corporation,Yunita Sinaga,individual,2025-12-24,3527993881,False,,3527993881,1,3527993881.0,,1.0,,1,1,1,1,3527993881,1.0,False
Nrima Namaga,individual,Malik Mayasari,individual,2024-04-28,1409533256,True,self_funded,1409533256,1,1409533256.0,,1.0,,1,1,1,1,1409533256,1.0,False
Perum Ramadan Prayoga,corporation,Partai Demokrat,political-party,2025-07-30,670049959,False,,670049959,1,670049959.0,,1.0,,1,1,429,429,670049959,1.0,False
Harja Samosir,individual,"Shakila Sihombing, S.E.I",individual,2024-05-18,78832482,True,smurfing,78832482,1,78832482.0,,1.0,,1,1,1,1,78832482,1.0,False
PD Usamah Wijaya Tbk,organization,drg. Ega Kuswoyo,individual,2024-06-19,1042595808,True,proxy,1042595808,1,1042595808.0,,1.0,,1,1,1,1,1042595808,1.0,False
PD Palastri Handayani Tbk,corporation,"Drs. Emil Kusmawati, M.M.",individual,2025-10-06,11097878316,True,self_funded,11097878316,1,11097878316.0,,1.0,,1,1,1,1,11097878316,1.0,False
"Karma Sihotang, S.Psi",individual,Partai Keadilan Indonesia,political-party,2025-08-02,105004528,False,,105004528,1,105004528.0,,1.0,,1,1,422,422,105004528,1.0,False
Jati Suryono,individual,"Arta Budiyanto, S.H.",individual,2025-04-22,378445589,True,self_funded,378445589,1,378445589.0,,1.0,,1,1,1,1,378445589,1.0,False
Cinta Siregar,individual,Unggul Pudjiastuti,individual,2024-05-01,1536867773,False,,1536867773,1,1536867773.0,,1.0,,1,1,1,1,1536867773,1.0,False
Hj. Ella Prasasta,individual,Juli Rahimah,individual,2025-07-22,162974962,False,,162974962,1,162974962.0,,1.0,,1,1,1,1,162974962,1.0,False
CV Palastri Kurniawan,organization,Partai Harapan Bangsa,political-party,2025-07-26,1899833604,True,proxy,1899833604,1,1899833604.0,,1.0,,1,1,436,436,1899833604,1.0,False
UD Prasasta Handayani (Persero) Tbk,corporation,"H. Banara Susanti, S.Pd",individual,2025-08-10,12169909058,True,self_funded,12169909058,1,12169909058.0,,1.0,,1,1,1,1,12169909058,1.0,False
PD Mahendra (Persero) Tbk,corporation,"Ir. Febi Utama, S.I.Kom",individual,2025-07-14,1009102555,True,proxy,10805520301,2,5402760150.5,6213570159.979662,1.0,192.0,2,2,1,1,9796417746,0.9066123123283002,False
CV Samosir Prasetyo Tbk,corporation,"Langgeng Suwarno, M.TI.",individual,2025-11-10,7508706540,True,self_funded,7508706540,1,7508706540.0,,1.0,,1,1,1,1,7508706540,1.0,False
Halima Budiyanto,individual,Heru Permadi,individual,2025-06-20,1167016653,False,,1167016653,1,1167016653.0,,1.0,,1,1,1,1,1167016653,1.0,False
PD Wibisono,organization,Partai Persatuan,political-party,2025-07-08,94725914,True,smurfing,10980276375,5,2196055275.0,4401135747.663273,1.0,85.5,5,5,415,415,10054823074,0.9157167570839035,False
Daniswara Saragih,individual,Partai Harapan Bangsa,political-party,2024-03-10,21077630,False,,21077630,1,21077630.0,,1.0,,1,1,436,436,21077630,1.0,False
PD Nuraini Adriansyah,organization,Yusuf Damanik,individual,2024-09-11,893599273,True,proxy,893599273,1,893599273.0,,1.0,,1,1,1,1,893599273,1.0,False
Raisa Salahudin,individual,dr. Ophelia Melani,individual,2025-02-17,91213294,True,smurfing,91213294,1,91213294.0,,1.0,,1,1,1,1,91213294,1.0,False
PD Yulianti Jailani (Persero) Tbk,corporation,Yunita Suwarno,individual,2024-02-15,18876091958,False,,18876091958,1,18876091958.0,,1.0,,1,1,1,1,18876091958,1.0,False
Mala Zulaika,individual,Septi Prastuti,individual,2024-07-16,1948968254,False,,1948968254,1,1948968254.0,,1.0,,1,1,1,1,1948968254,1.0,False
"Lukita Tamba, M.Farm",individual,"KH. Ikin Halimah, S.Gz",individual,2024-06-29,1106851059,False,,1106851059,1,1106851059.0,,1.0,,1,1,1,1,1106851059,1.0,False
PD Mansur,corporation,Partai Harapan Bangsa,political-party,2025-09-14,1120160707,True,over_limit,13981817815,6,2330302969.1666665,4412263489.881396,1.0,137.6,5,5,436,436,11294241011,0.8077805876488601,True
UD Haryanto,corporation,Gilda Mandasari,individual,2025-11-16,10183203665,False,,10183203665,1,10183203665.0,,1.0,,1,1,1,1,10183203665,1.0,False
UD Permata (Persero) Tbk,corporation,Candrakanta Prayoga,individual,2025-02-05,47389953,True,smurfing,47389953,1,47389953.0,,1.0,,1,1,1,1,47389953,1.0,False
"H. Catur Sihombing, S.Pd",individual,"Kasiyah Waluyo, M.Ak",individual,2024-12-25,1717771381,False,,1717771381,1,1717771381.0,,1.0,,1,1,1,1,1717771381,1.0,False
PT Sihombing Rahimah,organization,Partai Amanat Rakyat,political-party,2025-09-17,1527643407,True,over_limit,1527643407,1,1527643407.0,,1.0,,1,1,411,411,1527643407,1.0,False
Perum Simbolon Sitorus (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2025-09-06,476667133,False,,476667133,1,476667133.0,,1.0,,1,1,411,411,476667133,1.0,False
Perum Sihombing Nainggolan (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2025-10-30,199488538,False,,199488538,1,199488538.0,,1.0,,1,1,404,404,199488538,1.0,False
CV Prasetyo,corporation,Gandi Damanik,individual,2025-04-01,40907489638,True,over_limit,42581608709,4,10645402177.25,20183934041.704018,1.0,191.0,4,4,1,1,40907489638,0.9606844569344286,True
dr. Ophelia Melani,individual,"Puti Ratna Usada, S.Pd",individual,2025-08-15,515094442,False,,515094442,1,515094442.0,,1.0,,1,1,1,1,515094442,1.0,False
PT Widiastuti Purnawati,corporation,Anastasia Kusmawati,individual,2025-04-28,17462508160,False,,17462508160,1,17462508160.0,,1.0,,1,1,1,1,17462508160,1.0,False
CV Suryatmi (Persero) Tbk,corporation,Partai Solidaritas Indonesia,political-party,2024-06-17,86309589,False,,1232764027,2,616382013.5,749635611.7678884,1.0,446.0,2,2,431,431,1146454438,0.9299869341498882,False
Perum Suryatmi Saputra,organization,Partai Solidaritas Indonesia,political-party,2024-08-09,92040594,True,smurfing,92040594,1,92040594.0,,1.0,,1,1,431,431,92040594,1.0,False
Perum Hasanah Nugroho,organization,Kasiyah Mansur,individual,2024-12-21,90893225,True,smurfing,90893225,1,90893225.0,,1.0,,1,1,1,1,90893225,1.0,False
UD Mayasari (Persero) Tbk,corporation,Artanto Oktaviani,individual,2025-05-11,20154917819,True,self_funded,20154917819,1,20154917819.0,,1.0,,1,1,1,1,20154917819,1.0,False
