sender,sender_type,receiver,receiver_type,date,amount,risk,risk_type
PD Prasetyo Firgantoro,organization,Sadina Susanti,individual,2025-01-05,10016871352,False,
"Vivi Yulianti, S.E.I",individual,Partai Nasional Demokrat,political-party,2025-10-19,3232633,True,smurfing
"dr. Unggul Ramadan, M.Ak",individual,R.A. Zizi Nababan,individual,2025-06-03,2021919955,False,
Zelaya Habibi,individual,Partai Persatuan,political-party,2025-06-07,371500482,True,over_limit
CV Sinaga,corporation,Sarah Kuswandari,individual,2025-01-08,23435967526,True,self_funded
Perum Wahyuni Winarsih Tbk,corporation,Erik Uyainah,individual,2024-02-05,273973613,True,proxy
Zelda Zulkarnain,individual,Endah Kusumo,individual,2024-04-10,8081453,True,smurfing
UD Hutapea Thamrin (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-12-11,1305333638,True,proxy
"T. Cahyadi Maulana, S.Kom",individual,Muhammad Mangunsong,individual,2024-04-20,1870091920,True,self_funded
UD Suryono,corporation,Rahmi Habibi,individual,2025-05-08,8585952471,False,
Drajat Purnawati,individual,Yani Suartini,individual,2025-11-09,2144532823,True,self_funded
Kamal Wijayanti,individual,Partai Amanat Rakyat,political-party,2024-08-28,67695517,False,
Perum Suryono,corporation,Atmaja Hariyah,individual,2025-04-15,1251091205,True,proxy
Yulia Usamah,individual,"Ir. Ellis Saputra, S.Farm",individual,2024-06-17,1501570740,False,
PT Rahmawati,corporation,Partai Rakyat Sejahtera,political-party,2025-11-10,1638914700,True,proxy
UD Prakasa (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-09-05,393561028,False,
UD Kuswoyo Handayani Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-05-10,313877444,True,proxy
PT Ardianto Wibowo Tbk,corporation,Partai Indonesia Maju,political-party,2024-11-06,1262840722,True,proxy
PD Mandasari Palastri (Persero) Tbk,corporation,Dr. Gilda Pratama,individual,2025-04-02,35880572,True,smurfing
Maida Handayani,individual,Partai Kebangkitan Rakyat,political-party,2024-08-11,29860156,False,
"Dr. Danu Nasyidah, S.T.",individual,Partai Nasional Demokrat,political-party,2024-10-12,49482728,False,
PT Wibisono Sirait Tbk,corporation,Partai Persatuan,political-party,2025-07-16,994622446,True,over_limit
PD Haryanto Namaga Tbk,organization,Partai Amanat Rakyat,political-party,2025-01-23,9906490,True,smurfing
Ir. Prayogo Simbolon,individual,Partai Persatuan,political-party,2024-02-11,17231345,False,
CV Wijaya (Persero) Tbk,organization,Partai Nasional Demokrat,political-party,2024-12-31,1657365397,True,proxy
Adhiarja Nugroho,individual,dr. Aurora Haryanto,individual,2025-08-31,1127646596,False,
drg. Yessi Pratama,individual,"Ganda Tarihoran, M.TI.",individual,2025-01-02,2056542388,False,
Perum Fujiati,corporation,Partai Demokrat,political-party,2025-03-10,1735208702,True,proxy
Dt. Langgeng Sihombing,individual,"Maida Pratama, S.IP",individual,2025-02-24,629681147,False,
CV Utami Maulana Tbk,corporation,Titi Hidayat,individual,2024-03-08,62860783,True,smurfing
PD Sihombing Winarno,corporation,R. Violet Hutagalung,individual,2024-03-16,142807516,True,self_funded
CV Nashiruddin,organization,"Hj. Belinda Hidayat, S.T.",individual,2024-12-17,1030186527,True,proxy
PD Dabukke (Persero) Tbk,organization,"Olga Wahyudin, S.Sos",individual,2024-12-15,1698857902,True,proxy
Perum Tampubolon (Persero) Tbk,organization,Partai Demokrat,political-party,2024-03-04,159423919,False,
"Harja Utama, M.Farm",individual,Partai Nasional Demokrat,political-party,2025-05-22,87519303,True,smurfing
"Jamalia Mandala, S.IP",individual,Unggul Marpaung,individual,2024-12-08,2235870225,False,
Perum Rahimah Saptono,corporation,Citra Firgantoro,individual,2024-10-25,2821498428,False,
CV Tarihoran,organization,Damu Budiyanto,individual,2024-10-08,51937678,True,proxy
Rina Melani,individual,Partai Kebangkitan Rakyat,political-party,2025-04-22,36061649,False,
Kani Mahendra,individual,"Marwata Prakasa, S.IP",individual,2024-08-09,11260759,True,smurfing
PD Firmansyah,corporation,Partai Indonesia Maju,political-party,2025-12-01,283204311,False,
PD Susanti Narpati,corporation,"Prayogo Pratiwi, M.Ak",individual,2024-02-18,15335887299,True,self_funded
"R. Cager Utami, S.Pt",individual,Kenari Budiman,individual,2025-01-16,1360878452,False,
CV Hidayanto Mangunsong,corporation,Partai Rakyat Sejahtera,political-party,2024-11-18,302334552,True,proxy
CV Mustofa Simanjuntak (Persero) Tbk,corporation,Ulva Firgantoro,individual,2025-09-06,164796982,True,proxy
CV Waluyo,corporation,Partai Amanat Rakyat,political-party,2024-09-13,1174597424,True,proxy
Kartika Hidayanto,individual,Ciaobella Prayoga,individual,2024-10-15,233474544,False,
Bahuwirya Megantara,individual,Jono Saefullah,individual,2025-02-04,1273035699,False,
Maras Budiman,individual,Partai Kebangkitan Rakyat,political-party,2025-06-17,141909594,False,
PT Mandasari,corporation,Partai Solidaritas Indonesia,political-party,2025-08-03,300172992,False,
Edi Pranowo,individual,"Tgk. Latif Nababan, S.T.",individual,2024-03-27,1872686931,False,
"R. Bala Saptono, M.Ak",individual,Partai Harapan Bangsa,political-party,2024-04-30,977136,True,smurfing
PT Maryati Najmudin,organization,Sutan Raharja Mahendra,individual,2024-07-05,294728169,True,proxy
PD Pranowo (Persero) Tbk,corporation,Gada Pradipta,individual,2025-05-30,7471256561,True,self_funded
drg. Kacung Yuniar,individual,dr. Winda Oktaviani,individual,2024-03-02,1588161759,False,
Putu Suwarno,individual,Partai Solidaritas Indonesia,political-party,2024-03-07,163350397,False,
Jatmiko Adriansyah,individual,Partai Solidaritas Indonesia,political-party,2024-12-06,29269762,False,
Perum Saefullah,corporation,Partai Persatuan,political-party,2024-08-31,651902844,False,
CV Purwanti Tbk,corporation,Mulya Rahmawati,individual,2025-09-24,54735580,True,smurfing
Perum Yuliarti Suwarno,organization,R.A. Vanya Wasita,individual,2025-10-29,2162927383,False,
Gilang Prakasa,individual,Anggabaya Pudjiastuti,individual,2025-07-28,1553066633,True,self_funded
"Tantri Nasyiah, S.Pt",individual,Partai Harapan Bangsa,political-party,2025-10-02,129896184,False,
Amalia Narpati,individual,Partai Indonesia Maju,political-party,2025-09-09,72997226,False,
PD Wijaya Januar (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2025-07-24,1297715012,True,proxy
CV Simbolon,corporation,Vivi Setiawan,individual,2024-06-20,87431430,True,smurfing
PD Suartini (Persero) Tbk,organization,"Cemeti Pudjiastuti, S.IP",individual,2024-10-10,3054394542,False,
PD Wibisono,corporation,Radika Sihombing,individual,2024-07-31,10054823074,False,
PT Lestari Puspita (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2025-07-05,501871580,True,proxy
Harjasa Wastuti,individual,Partai Demokrat,political-party,2024-10-22,8354741,False,
dr. Edi Saputra,individual,Partai Kebangkitan Rakyat,political-party,2024-04-25,126205262,False,
PT Kuswoyo,corporation,Hesti Mansur,individual,2024-09-16,1045941933,True,self_funded
"Tira Permata, S.IP",individual,Partai Keadilan Indonesia,political-party,2025-04-07,38894777,True,smurfing
UD Saragih Lazuardi,corporation,Yunita Sinaga,individual,2025-12-24,3527993881,False,
Nrima Namaga,individual,Malik Mayasari,individual,2024-04-28,1409533256,True,self_funded
Perum Ramadan Prayoga,corporation,Partai Demokrat,political-party,2025-07-30,670049959,False,
Harja Samosir,individual,"Shakila Sihombing, S.E.I",individual,2024-05-18,78832482,True,smurfing
PD Usamah Wijaya Tbk,organization,drg. Ega Kuswoyo,individual,2024-06-19,1042595808,True,proxy
PD Palastri Handayani Tbk,corporation,"Drs. Emil Kusmawati, M.M.",individual,2025-10-06,11097878316,True,self_funded
"Karma Sihotang, S.Psi",individual,Partai Keadilan Indonesia,political-party,2025-08-02,105004528,False,
Jati Suryono,individual,"Arta Budiyanto, S.H.",individual,2025-04-22,378445589,True,self_funded
Cinta Siregar,individual,Unggul Pudjiastuti,individual,2024-05-01,1536867773,False,
Hj. Ella Prasasta,individual,Juli Rahimah,individual,2025-07-22,162974962,False,
CV Palastri Kurniawan,organization,Partai Harapan Bangsa,political-party,2025-07-26,1899833604,True,proxy
UD Prasasta Handayani (Persero) Tbk,corporation,"H. Banara Susanti, S.Pd",individual,2025-08-10,12169909058,True,self_funded
PD Mahendra (Persero) Tbk,corporation,"Ir. Febi Utama, S.I.Kom",individual,2025-07-14,1009102555,True,proxy
CV Samosir Prasetyo Tbk,corporation,"Langgeng Suwarno, M.TI.",individual,2025-11-10,7508706540,True,self_funded
Halima Budiyanto,individual,Heru Permadi,individual,2025-06-20,1167016653,False,
PD Wibisono,organization,Partai Persatuan,political-party,2025-07-08,94725914,True,smurfing
Daniswara Saragih,individual,Partai Harapan Bangsa,political-party,2024-03-10,21077630,False,
PD Nuraini Adriansyah,organization,Yusuf Damanik,individual,2024-09-11,893599273,True,proxy
Raisa Salahudin,individual,dr. Ophelia Melani,individual,2025-02-17,91213294,True,smurfing
PD Yulianti Jailani (Persero) Tbk,corporation,Yunita Suwarno,individual,2024-02-15,18876091958,False,
Mala Zulaika,individual,Septi Prastuti,individual,2024-07-16,1948968254,False,
"Lukita Tamba, M.Farm",individual,"KH. Ikin Halimah, S.Gz",individual,2024-06-29,1106851059,False,
PD Mansur,corporation,Partai Harapan Bangsa,political-party,2025-09-14,1120160707,True,over_limit
UD Haryanto,corporation,Gilda Mandasari,individual,2025-11-16,10183203665,False,
UD Permata (Persero) Tbk,corporation,Candrakanta Prayoga,individual,2025-02-05,47389953,True,smurfing
"H. Catur Sihombing, S.Pd",individual,"Kasiyah Waluyo, M.Ak",individual,2024-12-25,1717771381,False,
PT Sihombing Rahimah,organization,Partai Amanat Rakyat,political-party,2025-09-17,1527643407,True,over_limit
Perum Simbolon Sitorus (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2025-09-06,476667133,False,
Perum Sihombing Nainggolan (Persero) Tbk,corporation,Partai Rakyat Sejahtera,political-party,2025-10-30,199488538,False,
CV Prasetyo,corporation,Gandi Damanik,individual,2025-04-01,40907489638,True,over_limit
dr. Ophelia Melani,individual,"Puti Ratna Usada, S.Pd",individual,2025-08-15,515094442,False,
PT Widiastuti Purnawati,corporation,Anastasia Kusmawati,individual,2025-04-28,17462508160,False,
CV Suryatmi (Persero) Tbk,corporation,Partai Solidaritas Indonesia,political-party,2024-06-17,86309589,False,
Perum Suryatmi Saputra,organization,Partai Solidaritas Indonesia,political-party,2024-08-09,92040594,True,smurfing
Perum Hasanah Nugroho,organization,Kasiyah Mansur,individual,2024-12-21,90893225,True,smurfing
UD Mayasari (Persero) Tbk,corporation,Artanto Oktaviani,individual,2025-05-11,20154917819,True,self_funded
Dacin Zulkarnain,individual,Partai Solidaritas Indonesia,political-party,2025-09-16,80006917,False,
Candrakanta Irawan,individual,Partai Kebangkitan Rakyat,political-party,2025-08-06,105240699,False,
"R. Jumadi Jailani, S.E.",individual,Caket Lailasari,individual,2024-10-28,902391368,True,self_funded
Mila Purnawati,individual,Partai Kebangkitan Rakyat,political-party,2024-04-29,145636677,False,
CV Hakim (Persero) Tbk,organization,Partai Keadilan Indonesia,political-party,2025-03-05,289788744,False,
PT Sihotang Pratiwi,organization,"Dt. Aditya Hariyah, S.IP",individual,2024-06-13,5452126320,False,
"KH. Setya Suartini, M.M.",individual,Partai Kebangkitan Rakyat,political-party,2024-03-18,111868935,False,
Wisnu Namaga,individual,Partai Rakyat Sejahtera,political-party,2025-08-09,332940287,True,over_limit
CV Tampubolon Tbk,corporation,Partai Keadilan Indonesia,political-party,2025-07-28,169303406,False,
PD Mandasari,corporation,"R. Galih Anggraini, S.Gz",individual,2024-09-26,13974050963,True,self_funded
PT Laksita,corporation,"Puti Vanya Nasyidah, S.E.I",individual,2024-04-09,32434717081,True,over_limit
Perum Rahmawati Puspita,corporation,Kamila Kuswoyo,individual,2024-10-05,19085548568,True,self_funded
UD Nasyiah,organization,Partai Amanat Rakyat,political-party,2025-10-29,429711883,False,
PT Manullang,corporation,"Ir. Gadang Suartini, S.Gz",individual,2024-06-16,16733676,True,smurfing
PD Prabowo Habibi (Persero) Tbk,corporation,Partai Kebangkitan Rakyat,political-party,2025-11-05,1423408593,True,proxy
PD Andriani (Persero) Tbk,organization,Gawati Saputra,individual,2024-12-04,45103696163,True,over_limit
Sutan Caket Saragih,individual,Mustika Halimah,individual,2024-05-15,1746902951,False,
Hesti Budiman,individual,"dr. Silvia Nainggolan, M.Farm",individual,2024-01-21,1536623608,False,
R. Olivia Hidayat,individual,Partai Indonesia Maju,political-party,2025-02-16,160589255,False,
Perum Usamah (Persero) Tbk,organization,Partai Indonesia Maju,political-party,2025-12-18,1959774366,True,proxy
Perum Nurdiyanti,corporation,Karma Ardianto,individual,2024-10-18,86150545,True,smurfing
UD Prasasta (Persero) Tbk,corporation,Heru Sihombing,individual,2024-05-05,20678681106,False,
CV Saptono Hutagalung,corporation,Sutan Cahyono Zulaika,individual,2025-07-25,15624229263,False,
Ajeng Winarno,individual,Drs. Oni Mansur,individual,2024-10-30,45469072,False,
Pemerintah Kabupaten Banyumas,organization,Gada Maheswara,individual,2024-02-07,30630097033,True,illegal_source
Pemerintah Kota Surabaya,organization,Galak Purwanti,individual,2024-10-19,10648275220,True,illegal_source
CV Namaga Suryatmi,organization,Zamira Pangestu,individual,2024-08-04,764398584,True,proxy
UD Andriani Samosir (Persero) Tbk,corporation,Nabila Prakasa,individual,2024-09-28,6408923182,False,
Gina Jailani,individual,dr. Yono Purwanti,individual,2025-08-24,2144756230,True,self_funded
Belinda Simanjuntak,individual,Karimah Sudiati,individual,2024-12-01,1663290728,False,
Bakiadi Wahyuni,individual,Ulya Sihotang,individual,2025-06-22,673305561,False,
PD Rajasa,organization,Partai Nasional Demokrat,political-party,2025-05-18,471746515,True,proxy
"R. Oliva Utama, M.Pd",individual,Partai Keadilan Indonesia,political-party,2025-10-30,30168945,False,
Emong Sihombing,individual,Hafshah Mustofa,individual,2025-04-12,2465530278,True,self_funded
Lasmono Wastuti,individual,Partai Nasional Demokrat,political-party,2024-06-10,45979338,False,
PD Oktaviani (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-02-19,360842194,False,
UD Ramadan,organization,Najam Utami,individual,2025-01-20,25740102,True,smurfing
Hamima Lailasari,individual,Pandu Hidayat,individual,2025-01-24,1150312067,False,
PD Zulkarnain Nainggolan (Persero) Tbk,organization,R.A. Dina Suryatmi,individual,2025-04-26,1257406385,True,proxy
Perum Marbun Uwais (Persero) Tbk,corporation,Partai Amanat Rakyat,political-party,2024-07-17,62979734,True,smurfing
"Fitria Halim, S.T.",individual,Partai Nasional Demokrat,political-party,2025-07-16,58932130,False,
CV Nashiruddin Kusumo (Persero) Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-10-27,1566570147,True,proxy
Silvia Uyainah,individual,Cut Carla Suryono,individual,2024-10-05,1839001707,True,self_funded
PD Gunawan Sihombing,organization,Partai Harapan Bangsa,political-party,2024-05-21,643992390,True,proxy
PD Anggriawan,organization,"Sutan Jayeng Pertiwi, S.Kom",individual,2024-01-22,17584864817,False,
Zulaikha Wahyudin,individual,Kunthara Situmorang,individual,2025-05-01,1415827365,True,self_funded
CV Suwarno Winarsih (Persero) Tbk,organization,Partai Rakyat Sejahtera,political-party,2024-04-14,64032728,True,smurfing
UD Haryanti,organization,Partai Amanat Rakyat,political-party,2024-05-07,1663146271,True,proxy
UD Prastuti (Persero) Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-10-19,87934465,True,smurfing
Perum Simbolon (Persero) Tbk,corporation,Lanang Winarsih,individual,2024-08-25,2228554044,True,self_funded
T. Edward Widodo,individual,Partai Harapan Bangsa,political-party,2024-01-02,150022863,False,
Adikara Napitupulu,individual,Panca Wasita,individual,2024-04-10,1725407089,False,
PT Pertamina (Persero),corporation,"Tgk. Gara Yuliarti, S.E.I",individual,2024-07-02,18206040910,True,illegal_source
PD Padmasari (Persero) Tbk,corporation,Timbul Yolanda,individual,2024-03-10,21881011705,True,self_funded
UD Mustofa Wastuti,corporation,"Gading Usada, S.T.",individual,2025-11-24,8553176696,False,
BUMN Mina Permai,corporation,Partai Kebangkitan Rakyat,political-party,2024-07-06,62882727,True,illegal_source
Ratna Hutasoit,individual,Muni Waluyo,individual,2025-08-24,226189423,False,
Perum Pranowo Purwanti,corporation,Salimah Kuswandari,individual,2025-02-12,95461340,True,smurfing
Laswi Suwarno,individual,Mulya Suryatmi,individual,2025-04-18,906114430,False,
Pemerintah Desa Sukamulya,organization,Vivi Laksita,individual,2024-05-29,7974726782,True,illegal_source
Perum Uwais,corporation,Partai Persatuan,political-party,2025-03-14,543168492,True,proxy
Candra Riyanti,individual,Partai Rakyat Sejahtera,political-party,2025-09-01,133851154,False,
UD Gunawan Narpati,organization,Partai Solidaritas Indonesia,political-party,2025-01-12,532767844,False,
Gilda Permata,individual,Partai Persatuan,political-party,2025-05-11,166490023,False,
Putu Putra,individual,Upik Salahudin,individual,2025-03-05,1463276382,False,
"Sutan Bakijan Januar, M.Farm",individual,Partai Nasional Demokrat,political-party,2025-09-04,51851500,False,
PD Kusumo Suryono,corporation,Partai Solidaritas Indonesia,political-party,2024-12-13,529773118,False,
Puji Fujiati,individual,Yosef Winarsih,individual,2024-12-21,1394756031,False,
"Ir. Cindy Pudjiastuti, M.Farm",individual,"Drs. Nadine Sitorus, S.I.Kom",individual,2025-01-17,343509034,False,
Perum Simanjuntak Hakim,organization,Partai Harapan Bangsa,political-party,2024-03-27,1724810810,True,proxy
"Makara Suryatmi, S.Farm",individual,Tira Prayoga,individual,2025-06-05,2038842942,False,
CV Prabowo,corporation,Partai Kebangkitan Rakyat,political-party,2024-04-01,73908864,False,
Indra Utama,individual,Partai Amanat Rakyat,political-party,2024-12-06,96862953,False,
Perum Astuti Fujiati,corporation,dr. Puji Prakasa,individual,2024-05-14,61191948,True,smurfing
Perkasa Permata,individual,Partai Solidaritas Indonesia,political-party,2024-06-18,81921787,False,
Dadap Marbun,individual,"Cici Haryanto, S.I.Kom",individual,2025-06-20,1549993625,True,self_funded
Prabawa Pradipta,individual,Warsita Astuti,individual,2025-08-07,581709791,False,
"Mala Kusmawati, S.H.",individual,"Sutan Kenari Situmorang, S.Pt",individual,2024-09-05,359162149,False,
PT Saragih Sitompul (Persero) Tbk,corporation,"R. Raden Latupono, S.Gz",individual,2024-12-13,687785996,True,proxy
UD Sitorus,organization,Partai Rakyat Sejahtera,political-party,2024-12-11,108303256,False,
CV Yuliarti,corporation,Puti Zaenab Setiawan,individual,2025-10-28,14393828,True,smurfing
BUMN Mina Permai,corporation,R. Shania Hartati,individual,2024-10-15,11772509120,True,illegal_source
Ir. Dasa Yolanda,individual,"Siti Dongoran, S.I.Kom",individual,2024-10-26,2085849951,False,
"Dina Firmansyah, S.I.Kom",individual,Partai Rakyat Sejahtera,political-party,2025-11-30,18965784,False,
Perum Lailasari Habibi Tbk,corporation,"Laila Wibowo, S.Ked",individual,2024-07-01,611297472,True,self_funded
Perum Mandala (Persero) Tbk,corporation,Harsana Najmudin,individual,2024-11-19,12183490443,False,
Perum Rahimah Handayani,organization,Partai Rakyat Sejahtera,political-party,2025-12-26,50394304,True,smurfing
PT Novitasari Rajasa (Persero) Tbk,corporation,Partai Solidaritas Indonesia,political-party,2025-11-13,1503948304,True,proxy
"drg. Jefri Winarno, M.Pd",individual,Partai Demokrat,political-party,2025-06-09,173350642,False,
UD Saptono (Persero) Tbk,corporation,Partai Harapan Bangsa,political-party,2025-12-17,484589296,False,
Galiono Wibisono,individual,Sutan Kadir Hartati,individual,2025-08-29,1474806551,False,
UD Simanjuntak,organization,Zelaya Manullang,individual,2025-10-04,602389862,True,proxy
PD Sudiati (Persero) Tbk,organization,Partai Amanat Rakyat,political-party,2024-10-26,1353308678,True,over_limit
UD Puspasari Tbk,corporation,Asmuni Pranowo,individual,2024-09-04,10916820587,True,self_funded
Clara Hutapea,individual,Elma Suwarno,individual,2024-02-29,18168557,True,smurfing
Perum Haryanto Tbk,organization,Partai Kebangkitan Rakyat,political-party,2024-11-22,7956748,True,smurfing
Mahfud Wastuti,individual,"Gilda Pratama, M.Farm",individual,2024-12-02,1394730548,False,
PD Nainggolan Palastri,organization,Partai Indonesia Maju,political-party,2024-07-13,1168394813,True,proxy
PD Waskita (Persero) Tbk,organization,Tgk. Wani Rajasa,individual,2024-03-23,201124174,True,proxy
PT Hidayanto Tbk,corporation,Prasetyo Farida,individual,2024-03-25,4788023607,True,self_funded
"Kayun Simanjuntak, S.Psi",individual,Partai Demokrat,political-party,2025-02-14,32301454,False,
Puti Mutia Agustina,individual,Partai Persatuan,political-party,2025-11-19,270716128,True,over_limit
Bagas Santoso,individual,"Sutan Gambira Samosir, S.I.Kom",individual,2024-10-28,1796699109,False,
Johan Palastri,individual,Partai Nasional Demokrat,political-party,2025-11-12,120526641,False,
dr. Wasis Setiawan,individual,Najwa Widiastuti,individual,2025-12-20,1250487121,True,self_funded
Melinda Anggraini,individual,"T. Cakrabirawa Mayasari, S.IP",individual,2024-04-25,1150934577,False,
UD Oktaviani (Persero) Tbk,corporation,"Mulyono Puspasari, S.Psi",individual,2024-03-16,18517878555,True,self_funded
PT Prasetyo Agustina Tbk,corporation,Partai Amanat Rakyat,political-party,2025-06-21,289237524,False,
Luthfi Rajata,individual,Drs. Himawan Mahendra,individual,2025-12-11,1454376456,True,self_funded
Perum Farida (Persero) Tbk,corporation,Wahyu Oktaviani,individual,2025-08-03,1614395583,True,proxy
PD Jailani Fujiati,corporation,Balamantri Utama,individual,2025-02-04,12472360463,True,self_funded
"Dr. Luhung Hutasoit, M.Farm",individual,Partai Indonesia Maju,political-party,2025-06-04,9426482,False,
"Yani Suryatmi, S.Ked",individual,Partai Rakyat Sejahtera,political-party,2024-09-21,139894894,False,
PT Manullang Suryono Tbk,corporation,Dartono Usamah,individual,2025-08-22,401326182,True,proxy
PT Hastuti (Persero) Tbk,organization,Harsanto Wijayanti,individual,2024-07-29,2480325,True,smurfing
Baktianto Sitompul,individual,Partai Amanat Rakyat,political-party,2025-07-20,164989037,False,
CV Pratama (Persero) Tbk,corporation,Vera Budiyanto,individual,2024-10-23,21232919091,False,
Dr. Karimah Thamrin,individual,Yuliana Nugroho,individual,2025-08-01,2029131177,True,self_funded
CV Rahimah,corporation,Heryanto Zulaika,individual,2025-11-17,18742315075,True,self_funded
PT Kuswandari Salahudin (Persero) Tbk,organization,Mahdi Salahudin,individual,2025-10-15,51975382,True,smurfing
PT Kuswandari,corporation,Darimin Napitupulu,individual,2024-10-09,17249402840,True,self_funded
UD Sinaga,organization,drg. Ghani Pranowo,individual,2024-01-15,21453701499,False,
CV Putra Pratama Tbk,corporation,Partai Keadilan Indonesia,political-party,2024-02-04,649475478,False,
UD Oktaviani Mansur,corporation,Ilyas Laksita,individual,2025-06-25,16536516732,False,
Saadat Wibisono,individual,"Drs. Lili Nasyiah, M.Kom.",individual,2025-03-20,86082792,True,smurfing
"Winda Winarsih, S.I.Kom",individual,Devi Hidayat,individual,2024-10-06,2179918918,False,
H. Adinata Sinaga,individual,Partai Keadilan Indonesia,political-party,2025-10-26,53143902,False,
CV Pranowo (Persero) Tbk,organization,Partai Harapan Bangsa,political-party,2024-01-15,31105021,True,smurfing
Panca Wijaya,individual,Partai Nasional Demokrat,political-party,2025-11-23,41529432,False,
Citra Kusumo,individual,Partai Indonesia Maju,political-party,2025-02-08,51758302,False,
Jessica Anggriawan,individual,Citra Santoso,individual,2024-12-06,1648291068,False,
